Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE223646,Compartmentalization of human B cell responses in early life through induction of bronchus-associated lymphoid tissue,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aged,,,,,,0,2023/05/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223646
GSE229915,Heat promotes melanogenesis by increasing the paracrine effects in keratinocytes via the TRPV3/Ca2+/Hh signaling pathway,exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; keratinocyte,aging_generic,keratinocyte_sample,,,,,0,2023/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229915
GSE232425,mRNA expression of mid-old fibroblasts co-cultured with young and mid-old fibroblasts,exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,young_vs_old,,young_vs_old,,,,0,2023/05/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232425
GSE232427,"mRNA expression of young, mid-old, and old fibroblasts",exclude,8,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,young_vs_old,hdf,young_vs_old,,,,0,2023/05/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232427
GSE231853,Initiation Phase Cellular Reprogramming Rejuvenates DNA Damage Repair Defect In The Ercc1 Accelerated Aging Mouse Model,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,aged_skin_repair,,aging_generic; senescence; rejuvenation,,,,,,0,2023/05/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231853
GSE231971,C-type lectin receptor expression is a hallmark of neutrophils infiltrating the skin in epidermolysis bulls acquisita.,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis,,,,,,,0,2023/05/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231971
GSE182410,"Accelerated replicative senescence of ataxia-telangiectasia skin fibroblasts is retained at physiologic oxygen levels, with unique and common transcriptional patterns",include,10,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,skin,age_related; aging_generic; senescence; premature_aging,skin_fibroblast,replicative_aging,,,,0,2023/05/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182410
GSE39144,"Expression data of human induced pluripotent stem cells (hiPSCs), human embryonic stem cells (hESCs) and those differentiated cells.",exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,hdf,,,,embryonic_development; pluripotent,0,2023/05/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE39144
GSE203330,"Age-dependent immune and lymphatic responses after spinal cord injury [RNA-seq, aged]",exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; young_vs_old,,,,,,0,2023/04/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203330
GSE205037,"Age-dependent immune and lymphatic responses after spinal cord injury [RNA-seq, young]",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; young_vs_old,,,,,,0,2023/04/28,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205037
GSE224361,DNA methylation changes in mice induced by parabiosis and recovery [HorvathMammalMethylChip40],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2023/04/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224361
GSE224378,Gene expression changes in mice induced by parabiosis and recovery [RNA-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2023/04/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224378
GSE224442,DNA methylation changes in mice induced by parabiosis and recovery [RRBS],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2023/04/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224442
GSE224447,DNA methylation and gene expression changes in mice induced by parabiosis and recovery,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2023/04/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224447
GSE201098,Metformin promotes in vitro maturation of oocytes from aged mice,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged,,,,,reproductive,0,2023/04/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201098
GSE230026,Senotherapeutic peptide treatment reduces biological age and senescence burden in human skin models,include,7,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin,senescence,skin_direct,,,,,0,2023/04/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230026
GSE205692,Escape From Oncogene-Induced Senescence is Controlled by POU2F2 and Memorized by Chromatin Scars [Expression],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2023/04/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205692
GSE205898,Escape From Oncogene-Induced Senescence is Controlled by POU2F2 and Memorized by Chromatin Scars [ChIP-seq],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2023/04/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205898
GSE206402,Escape From Oncogene-Induced Senescence is Controlled by POU2F2 and Memorized by Chromatin Scars [ATAC-seq],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2023/04/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206402
GSE206493,Escape From Oncogene-Induced Senescence is Controlled by POU2F2 and Memorized by Chromatin Scars [RNA-seq],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2023/04/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206493
GSE206496,Escape From Oncogene-Induced Senescence is Controlled by POU2F2 and Memorized by Chromatin Scars,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2023/04/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206496
GSE228470,Senescent melanocytes driven by glycolytic changes are characterized by melanosome transfer dysfunction [RNA-seq],include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,melanocyte,senescence,melanocyte_sample,,,,,2,2023/04/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228470
GSE228471,Senescent melanocytes driven by glycolytic changes are characterized by melanosome transfer dysfunction [scRNA-seq],include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,melanocyte,senescence,melanocyte_sample,,,,,2,2023/04/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228471
GSE215912,Fate restricted stromal fibroblasts and adipocytes demonstrate multi-modal responses to tissue injury,exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aging_generic,,,,,,0,2023/03/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215912
GSE191055,"Young and old breast skin, and fibroblast cell line RNA seq data",include,20,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,skin,aged_skin; young_vs_old; senescence,skin_direct; skin_tissue,young_vs_old; senescent_control,,,,2,2023/03/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191055
GSE222639,Large scale production of melanocyte derived from pluripotent stem cells for biotherapeutic approaches to treat skin pigmentation disorders,exclude,7,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; melanocyte,senescence,melanocyte_sample,,,,,0,2023/03/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222639
GSE226331,Alteration of m6A epitranscriptome profile in the bleomycin-treated mouse model of scleroderma,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2023/03/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226331
GSE190182,Trancriptomics effect of IL-17 blockade on aged murine epidermal cells [young vs old],include,12,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,epidermis,skin_aging; aged; young_vs_old,epidermal_sample,young_vs_old,,,,0,2023/03/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190182
GSE190393,Trancriptomics effect of IL-17 blockade on aged murine epidermal cells,include,7,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,epidermis,skin_aging; aged,epidermal_sample,,,,,0,2023/03/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190393
GSE213732,Analysis of p65 genomic location changes with IL-17 blockade,exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,epidermis,skin_aging; aged,,,,,,0,2023/03/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213732
GSE200002,Fibroblast heterogeneity: a new phenotype associated with photoaging/solar elastosis,include,18,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; epidermis; dermis; dermal_fibroblast; keratinocyte; skin_model,photoaging; photoaging_phenotype; aging_generic; young_vs_old,dermal_sample; keratinocyte_sample,young_vs_old; photoaging_model,,,,1,2023/03/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200002
GSE227160,DNA methylation analysis of cellular senescence,exclude,4,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,cellular_senescence,skin,senescence,,,,,,1,2023/03/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227160
GSE198907,Steroidogenic factor 1 regulates transcription of the inhibin B co-receptor in pituitary gonadotrope cells,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2023/03/13,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198907
GSE217312,Age-related alterations in meningeal immunity drive impaired CNS lymphatic drainage [FACS LECs],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; young_vs_old,,,,,,0,2023/03/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217312
GSE217458,Characterizing expression changes in noncoding RNAs during aging and heterochronic parabiosis across mouse tissues,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; rejuvenation,,,,,,0,2023/03/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217458
GSE226452,Transcriptome analysis of the potential mechanism of Longkui Yinxiao soup in the treatment of imiquimod-induced psoriasis-like mice,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,other_disease,0,2023/03/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226452
GSE225848,Aging-related changes of facial skin microbiome in healthy women.,include,7,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin,aging_generic,skin_direct,,,,,0,2023/02/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225848
GSE221376,Immunotoxin-αCD40 therapy activates innate and adaptive immunity and generates a durable antitumor response in glioblastoma models,exclude,-6,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,intrinsic_skin_aging,epidermis,senescence,,,,,cancer; neurologic,0,2023/02/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221376
GSE220238,DNA methylation changes from primary cultures through senescence-bypass in Syrian hamster fetal cells initially exposed to benzo[a]pyrene,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2023/02/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220238
GSE197588,Wound memory of epidermal stem cells [scRNAseq L1-aged],include,9,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,aged_skin_repair,skin; epidermis; skin_stem_cell,aging_generic; aged,epidermal_sample,,,,,0,2023/02/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197588
GSE197392,ApoA-I nanotherapy rescues inadequate post-ischemic vascular adaptation in diabetic mice by modulating macrophage phenotype,exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2023/01/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197392
GSE222638,CPEB1-dependent disruption of the mRNA translation program in oocytes during maternal aging,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; young_vs_old,,,,,reproductive,0,2023/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222638
GSE184892,Highly concentrated trehalose induces prohealing senescence-like state in fibroblasts via CDKN1A/p21,include,5,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,aged_skin_repair,skin; epidermis; dermis; keratinocyte; skin_model,senescence,keratinocyte_sample,,,,,0,2023/01/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184892
GSE190697,Selective autophagic degradation of ATP citrate lyase maintains citrate homeostasis and promotes oocyte maturation,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,reproductive,0,2023/01/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190697
GSE198629,Type I IFN stimulates lymph node stromal cells from adult and old mice during a West Nile virus infection,exclude,3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; senescence,,young_vs_old,,,,0,2023/01/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198629
GSE146969,Development of gene expression signatures for barrier recovery phase in epidermis from acute barrier disruption,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis,,,,,,,0,2023/01/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146969
GSE171050,"RiboMeth-seq profiling of ribose methylations in ribosomal RNA of proliferating, quiescent and senescent primary human dermal fibroblasts.",include,19,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample; hdf,senescent_control,,,,2,2023/01/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171050
GSE175650,Fate restricted stromal fibroblasts and adipocytes demonstrate multi-modal responses to tissue injury,exclude,3,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aging_generic,skin_direct,,,,,0,2023/01/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175650
GSE193920,Local IL-17 orchestrates skin aging,include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; dermis; skin_appendage,skin_aging; aged_skin; age_related; aging_generic; aged,,,,,,1,2022/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193920
GSE200612,"10X Gemonics Single-cell RNA sequence of ovaries at P1,P14,W8,M8 and M12",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,senescence,,,,,,0,2022/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200612
GSE221027,Human PSEN1 Mutant Glia Improve Spatial Learning and Memory in Aged Mice,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aged,,,,,,0,2022/12/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221027
GSE206495,Exploratory Study to Identify Skin Anti-Aging Biomarkers as a Result of a Non-ablative Fractional Laser Treatment,include,15,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; dermis,photoaging; aging_generic; rejuvenation,skin_direct,photoaging_model,anti_aging_intervention; aged_skin_treatment,,,0,2022/12/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206495
GSE218785,Single-cell transcriptional atlas revealed that the resident progenitor cell niche functions in TMJ disc development and injury,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2022/12/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218785
GSE188862,Uncharged tRNAGln as an indicator of intracellular amino acid level upregulates UBC expression to maintain its charging level,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2022/11/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188862
GSE198657,"Innate type 2 immunity controls hair follicle commensalism by Demodex mites [IL-4, IL-13]",exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous; skin_appendage,aging_generic,,,,,,0,2022/11/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198657
GSE206141,ANT2 accelerates cutaneous wound healing in aged skin by reverse senescence,include,15,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,aged_skin_repair,skin; cutaneous; dermis; dermal_fibroblast,aged_skin; age_related; aging_generic; aged; senescence,hdf,,,,,1,2022/11/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206141
GSE178545,RAS induced senescence of skin keratinocytes is mediated through Rho kinase,include,11,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; keratinocyte,senescence,keratinocyte_sample,,,,,1,2022/10/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178545
GSE192564,Expression data from actinic lentigines in European volunteers,include,5,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; photoaging_phenotype; aging_generic; aged,skin_punch_biopsy,,,,,0,2022/10/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192564
GSE192565,Expression data from actinic lentigines in Japanese volunteers,include,5,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; photoaging_phenotype; aging_generic; aged,skin_punch_biopsy,,,,,0,2022/10/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192565
GSE215305,Muscle injury induces a transient senescence-like state that is required for myofiber growth during muscle regeneration [Spatial Transcriptomics],exclude,4,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,cellular_senescence,skin,senescence; rejuvenation,,,anti_aging_intervention,,,0,2022/10/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215305
GSE171897,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [ATAC-seq],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171897
GSE171901,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [BRB-seq],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171901
GSE171903,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [RNA-seq],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171903
GSE171905,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [WGBS],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171905
GSE172514,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [scRNA-seq],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172514
GSE193705,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [scRNA-seq II],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193705
GSE193709,Postnatal expansion of the lymph node stromal cell pool towards reticular and CD34+ stromal cell subsets [scRNA-seq III],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193709
GSE198857,Extended longevity geometrically-inverted proximal tubule organoids,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2022/10/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198857
GSE185086,RNA sequencing of epidermal stem cells in Fbln7 WT vs Fbln7 KO mice,include,11,摘要将皮肤老化作为组学实验的直接研究问题,include,摘要将皮肤老化作为组学实验的直接研究问题,two_stage_rule,True,intrinsic_skin_aging,epidermis; skin_stem_cell,aging_generic; aged; young_vs_old,epidermal_sample,,,,,2,2022/10/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185086
