Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE197982,Innate type 2 immunity controls hair follicle commensalism by Demodex mites [2021],exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,aged_skin_repair,skin; cutaneous; skin_appendage,aging_generic,skin_direct,,,,,0,2022/08/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197982
GSE211839,"Expression data from SQ, TRI-SQ and Tetra-SQ-treated HFDPCs",include,5,皮肤样本用于验证抗衰老或年轻化干预,exclude,实验终点是 HFDPC 毛发生长，anti-aging 仅为材料属性描述，未设置皮肤或毛囊老化模型。,evidence_adjudication,True,rejuvenation_intervention,dermis,aging_generic; rejuvenation,dermal_papilla,,anti_aging_intervention,,,0,2022/08/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211839
GSE198675,LINE-1 antisense oligonucleotide ameliorate HGPA and WRN aging phenotype.,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; senescence; premature_aging,,,,,,0,2022/08/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198675
GSE202351,Tfam-deficiency mediated mitochondrial disorder affects Langerhans cell maintenance and function,exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous; epidermis,skin_aging; age_related; aging_generic,,,,,,1,2022/08/13,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202351
GSE188432,Wound healing in aged skin exhibits systems-level alterations in cellular composition and cell-cell communication,include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin,aged_skin; aged; young_vs_old,skin_direct,young_vs_old,,,,1,2022/08/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188432
GSE197512,Cell division drives DNA methylation loss in late-replicating domains in primary human cells [methylation array],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,aged_skin_repair,,aging_generic,,,,,,0,2022/07/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197512
GSE197545,Cell division drives DNA methylation loss in late-replicating domains in primary human cells,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2022/07/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197545
GSE199763,Age-related alterations in macrophage distribution and function impair cutaneous wound healing,include,9,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,aged_skin_repair,skin; cutaneous,age_related; aging_generic; aged; young_vs_old,,young_vs_old,,,,1,2022/06/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199763
GSE178115,Synergistic chemical combination for cell cycle restoration in senescent cells via FoxM1 and E2F1 activation,include,5,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,aging_generic; senescence,dermal_sample,,,,,0,2022/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178115
GSE165668,YAP/TAZ activity in stromal cells prevents ageing by controlling cGAS/STING,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2022/06/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165668
GSE193386,"Transcriptome profiling reveals different expression pattern in baseline group, 0G group,and 5G group in ex vivo organ-cultured HFs.",exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,melanocyte; skin_appendage,skin_appendage_aging_phenotype; age_related; aging_generic; senescence; rejuvenation,,,anti_aging_intervention,,,0,2022/05/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193386
GSE173385,Single-cell RNA-seq of UVB-radiated Skin Reveals Landscape of Photoaging-related Inflammation and Protection by Vitamin D,include,12,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,photoaging,skin_direct,photoaging_model,,,,1,2022/05/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173385
GSE171035,"Global transcriptional profiles of plantar epidermal basal cells from normal diet-fed, HFD-fed, and aged mice",include,14,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; dermis; keratinocyte,aged,skin_direct; dermal_sample,,,,,3,2022/05/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171035
GSE201464,The gene expression of aged HDF cells.,exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aged; young_vs_old,hdf,,,,,0,2022/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201464
GSE165176,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming [Sendai_RNAseq],exclude,-2,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,rejuvenation_intervention,dermis; dermal_fibroblast,age_related; aging_generic; rejuvenation,,,anti_aging_intervention,fibroblast_reprogramming,pluripotent,0,2022/04/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165176
GSE165177,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming [Transient_RNAseq],exclude,1,皮肤细胞仅作为重编程或疾病诊断材料，并非皮肤老化研究对象,exclude,皮肤细胞仅作为重编程或疾病诊断材料，并非皮肤老化研究对象,two_stage_rule,True,rejuvenation_intervention,dermis; dermal_fibroblast,age_related; aging_generic; rejuvenation,,,anti_aging_intervention,fibroblast_reprogramming,,0,2022/04/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165177
GSE165178,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming [Sendai array],exclude,-2,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,rejuvenation_intervention,dermis; dermal_fibroblast,age_related; aging_generic; rejuvenation,,,anti_aging_intervention,fibroblast_reprogramming,pluripotent,0,2022/04/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165178
GSE165179,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming [Transient array],exclude,1,皮肤细胞仅作为重编程或疾病诊断材料，并非皮肤老化研究对象,exclude,皮肤细胞仅作为重编程或疾病诊断材料，并非皮肤老化研究对象,two_stage_rule,True,rejuvenation_intervention,dermis; dermal_fibroblast,age_related; aging_generic; rejuvenation,,,anti_aging_intervention,fibroblast_reprogramming,,0,2022/04/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165179
GSE167246,Transcriptomic study from total RNA extract from reconstructed Human Epidermis (RHE) at 3 time points and quatriplicats under Afatinib (100 nm) exposure versus vehicle,exclude,4,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,skin; cutaneous; epidermis; keratinocyte,senescence,,,,,,1,2022/02/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167246
GSE159997,Unbiased identification of CSDE1-regulated targets during oncogene-induced senescence [i-CLIP],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159997
GSE159998,Unbiased identification of CSDE1-regulated targets during oncogene-induced senescence [polysome profiling],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159998
GSE159999,Unbiased identification of CSDE1-regulated targets during oncogene-induced senescence [RNA-Seq],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159999
GSE160000,Unbiased identification of CSDE1-regulated targets during oncogene-induced senescence [RNA-Seq-sh],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160000
GSE160002,Unbiased identification of CSDE1-regulated targets during oncogene-induced senescence,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160002
GSE190984,In vivo partial reprogramming alters manifestation of age-associated molecular changes in aging mice (1 months; sort-term treatment),exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190984
GSE190986,In vivo partial reprogramming alters manifestation of age-associated molecular changes in aging mice,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,,,,,,0,2022/01/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190986
GSE77074,Identification of new microRNA-22-5p and -199a-5p/MMP1 functional interactions in stress-induced senescent human dermal fibroblasts [mRNA],include,9,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,,0,2022/01/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77074
GSE77406,Identification of new microRNA-22-5p and -199a-5p/MMP1 functional interactions in stress-induced senescent human dermal fibroblasts [miRNA],include,9,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,,0,2022/01/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77406
GSE77407,Identification of new microRNA-22-5p and -199a-5p/MMP1 functional interactions in stress-induced senescent human dermal fibroblasts,include,9,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,,,,,0,2022/01/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77407
GSE141950,RNA-seq analysis of primary dermal fibroblasts of Hutchinson-Gilford progeria syndrome.,review,4,使用皮肤来源细胞研究系统性早老疾病，需确认是否属于皮肤老化范围,exclude,实验仅研究 Hutchinson-Gilford progeria syndrome 患者成纤维细胞，主问题是系统性早老疾病而非皮肤老化。,evidence_adjudication,True,intrinsic_skin_aging,dermis; dermal_fibroblast,aging_generic,dermal_sample,,,,systemic_premature_aging,0,2021/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141950
GSE181329,Histone deacetylase 4 reverses cellular senescence via DDIT4 in dermal fibroblasts,include,13,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; dermis; dermal_fibroblast,skin_aging; aging_generic; aged; senescence,dermal_sample,,,,,2,2021/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181329
GSE92643,γH2A.X Modulates Self-renewal and Differentiation of Human Pluripotent Stem Cells. [HuGene-1_0-st],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2021/12/06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92643
GSE165312,Stem cells expand potency and alter tissue fitness by accumulating diverse epigenetic memories (ATAC-seq),exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,aged_skin_repair,skin; epidermis; skin_appendage,aging_generic,,,,,,0,2021/11/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165312
GSE165314,Stem cells expand potency and alter tissue fitness by accumulating diverse epigenetic memories (scRNA-seq),exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,aged_skin_repair,skin; epidermis; skin_appendage,aging_generic,,,,,,0,2021/11/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165314
GSE182252,"Transcriptomic analysis of the follicle associated epithelium of Peyer's Patches, intestinal villous epithelium and ileum from young and aged mice",exclude,7,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; young_vs_old,,young_vs_old,,,,0,2021/11/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182252
GSE179847,"A longitudinal DNA methylation dataset in primary human fibroblasts with mitochondrial genetic, metabolic, and endocrine perturbations",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; aged; senescence,,,,,,0,2021/11/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179847
GSE179848,"A longitudinal RNA sequencing dataset in primary human fibroblasts with mitochondrial genetic, metabolic, and endocrine perturbations",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; aged; senescence,,,,,,0,2021/11/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179848
GSE179849,"Longitudinal DNA methylation and RNA-seq datasets in primary human fibroblasts with mitochondrial genetic, metabolic, and endocrine perturbations",exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; senescence,,,,,,0,2021/11/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179849
GSE134893,Transcriptome analysis of mice dermal white adipose tissue during aging,include,15,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,skin_appendage_aging,skin; dermis; skin_appendage,aging_generic; aged; young_vs_old,skin_direct; dermal_adipose,young_vs_old,,,,1,2021/11/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134893
GSE185679,A transcriptomic analysis of primary fibroblasts isolated from young donors identifies a subset of donors displaying features of early senescence,include,11,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte,young_vs_old; senescence,keratinocyte_sample,young_vs_old; senescent_control,,,,0,2021/10/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185679
GSE181022,Newborn infant skin gene expression: Remarkable differences versus adults,include,11,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis; keratinocyte,aged_skin,skin_biopsy; skin_punch_biopsy,life_stage_contrast,,,,0,2021/10/06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181022
GSE133648,Escape of hair follicle stem cells from a defective niche,exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,skin_appendage_aging,skin_appendage,,skin_appendage_sample,,,,,0,2021/09/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133648
GSE145654,Single cell transcriptomic analysis of aging hair follicles,include,12,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,aged_skin_repair,epidermis; skin_appendage,aging_generic,epidermal_sample; skin_appendage_sample,,,,,1,2021/09/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145654
GSE184635,Reprogramming of ovarian aging epigenome by resveratrol [RNA-seq],exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,age_related; aging_generic; senescence,,,,,reproductive,0,2021/09/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184635
GSE184636,Reprogramming of ovarian aging epigenome by resveratrol [methylation],exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,age_related; aging_generic; senescence,,,,,reproductive,0,2021/09/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184636
GSE184084,Small RNA sequencing of small extracellular vesicles derived from senescent vs. nonsenescent human dermal fibroblasts (HDFs),include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample,senescent_control,,,,1,2021/09/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184084
GSE155789,Transcriptomic comparison of the vitamin A ester retinyl propionate and retinol in human keratinocytes,exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; keratinocyte,skin_aging; aging_generic,keratinocyte_sample,,,,,0,2021/09/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155789
GSE183499,Transcriptome analysis of isogenic Neural stem cell for LRRK2 G2019S mutation.,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,neurologic,0,2021/09/08,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183499
GSE159281,Single-oocyte transcriptome analysis reveals aging-associated effects influenced by life stage and calorie restriction,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,reproductive,0,2021/08/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159281
GSE141167,Gene expression data from murine cutaneous squamous cell carcinoma genomes induced by Sleeping Beauty transposon mutagenesis,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,cutaneous,,,,,,cancer,0,2021/07/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141167
GSE180750,Gene expression data from lung tissues of C57BL/6J mice,exclude,1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,age_related; aging_generic; aged; senescence; rejuvenation,,,anti_aging_intervention,,lung,1,2021/07/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180750
GSE180007,Persistent JunB Activation in Fibroblasts Disrupts Stem Cell Niche Interactions Enforcing Skin Aging [ATAC-seq],include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin; dermis; dermal_fibroblast,skin_aging; aging_generic,,,,,,1,2021/07/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180007
GSE180008,Persistent JunB Activation in Fibroblasts Disrupts Stem Cell Niche Interactions Enforcing Skin Aging [RNA-seq],include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,cellular_senescence,skin; skin_stem_cell,skin_aging; aging_generic; senescence,,,,,,1,2021/07/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180008
GSE180009,Persistent JunB Activation in Fibroblasts Disrupts Stem Cell Niche Interactions Enforcing Skin Aging,include,6,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; aging_generic,,,,,,0,2021/07/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180009
GSE119009,Transcriptomics Expression Analysis of the effects of UV radiations on Normal Human Dermal Fibroblast Cells,include,9,摘要将皮肤老化作为组学实验的直接研究问题,include,摘要将皮肤老化作为组学实验的直接研究问题,two_stage_rule,True,photoaging,skin; dermis; dermal_fibroblast,skin_aging; photoaging; aging_generic; premature_aging,dermal_sample,,,,,1,2021/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119009
GSE178768,Discrete tissue microenvironments instruct diversity in resident memory T cell function and plasticity (Skin),exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,,0,2021/06/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178768
GSE178594,Effect of enzymatically-hydrolysed eggshell membrane (eESM) in Human keratinocyte,exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,skin_aging; aging_generic,keratinocyte_sample,,,,,0,2021/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178594
GSE178595,Expression data from eggshell membrane powder (pESM)-supplemented IL-10 KO mice,include,12,皮肤样本用于验证抗衰老或年轻化干预,include,皮肤样本用于验证抗衰老或年轻化干预,two_stage_rule,True,intrinsic_skin_aging,skin; dermis,skin_aging; aging_generic,skin_direct; skin_tissue; dermal_adipose,,aged_skin_treatment,,,1,2021/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178595
GSE155179,Single cell transcriptome analysis of human oocyte aging,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,reproductive,0,2021/05/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155179
GSE171076,Adhesion-mediated mechanosignaling forces mitohormesis,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2021/05/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171076
GSE148619,Niche stiffening compromises stem cell potential during aging by reducing chromatin accessibility at bivalent promoters,include,5,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,skin_appendage_aging,skin_appendage,aging_generic,skin_appendage_sample,,,,,0,2021/05/06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148619
GSE131958,Obesity accelerates hair thinning in stem cell-centric converging mechanism,include,8,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,skin_appendage_aging,skin; epidermis; skin_appendage,skin_appendage_aging_phenotype; aging_generic; aged; young_vs_old,skin_appendage_sample,young_vs_old,,,,0,2021/04/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131958
GSE169173,Obesity accelerates hair thinning by stem cell-centric converging mechanism [RNA-seq],include,5,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,skin_appendage_aging,epidermis; skin_appendage,skin_appendage_aging_phenotype; aging_generic,skin_appendage_sample,,,,,0,2021/04/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169173
GSE167268,Gene expression data from mouse melanocyte cell lines established in culture from 3-day old skin of wild-type and bcat* mutant C57BL/6J mice,exclude,10,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; melanocyte,,skin_direct; melanocyte_sample,,,,,0,2021/02/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167268
GSE160920,miR-127-3p is an epigenetic activator of myofibroblast senescence situated within the miRNA enriched Dlk1-Dio3 imprinted domain on mouse chromosome 12 [mRNA array],include,10,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; dermis,age_related; senescence,skin_direct; dermal_sample,,,,,1,2021/01/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160920
